class_index,question_title,question_content,title_polyglot_detect,title_lang_detect,title_langid_detect,content_polyglot_detect,content_lang_detect,content_langid_detect
1,could a robot do your job ?,i mean as in the way you make a living,en,fr,en,en,en,en
1,my town is having rev trask day next week. do you think my church will let me take next sunday off ?,i'll be exhausted from being grand marshall in the parade.,en,en,en,en,en,en
1,why are people so dumb ?,"i was just watching the news, when this story comes on about a crackhead who attempted to attack a police officer with a knife and was shot to death. anyways the news found one of the guys hood rat friends and he was like (i'll attempt to recreate the slang) yo man, dos cops shot my boy in cold blood ya mean! he had a knife and like they shot him to death he didin't have a gun man ya mean! seriously are people getting dumber or am i get smarter?",en,en,en,en,en,en
1,are all christians going to heaven?,"why are there over 2,000 religious groups in america today? why are there over 300 baptists groups? i thought there was only one faith (ephesians 4:5), i thought there was no division (1 corinthians 1:10), i thought we weren't to exceed what's written (1 corinthians 4:6). are good intentions and a good heart enough to get me into heaven? if so, who is jesus talking about in matthew 7:21 22?",en,en,en,en,en,en
1,how can intelligent design be called intelligent?,"why do humans get sick so easily? why do our bones break when we fall? why do we need glasses? why all the aches and pains? why do our teeth rot and break without proper care? n ngod was all powerful, so why all the design flaws?",en,not_en,en,en,en,en
1,if a womans nipples are showing through her shirt. would it be ok to compliment her on them?,i would really like to know. from woman only please,en,en,en,en,en,en
1,"three metal tall crosses roadside 2white, 1yellow who puts them up? what do they mean? they are everywhere","while driving i often notice three metal crosses on the roadside of the highways (i live in indiana ohio) they never appear to be new, always rusted and chipped always white then yellow then white since i was young i've always wondered what they represent and who put them up any help would be great:)",en,en,en,en,en,en
1,indian curses?,"i want to know,about luiseno mission indian husbands and the power they have over their wives to submit to them totally,also i want to know if an indians wife were to stray away from him and cheat,what kind of spiritual and physicall ailment could the indian place on her lover in est couls that indian place a spell on her lover and make him unable to preform any sex buy impotence?",en,en,en,en,en,en
1,homophobic abuse againt heterosexual blokes ?,"have any straight guys ever been on receiving end of homophobic abuse, and if so, what happened, how did they feel?",en,en,en,en,en,en
1,how do i change the language on my yahoo homepage to french?,i need to know how i can change the language on my yahoo homepage. i need to change it to french.,en,en,en,en,en,en
1,how did it all begin?,"atheists, or those who believe only in the scientific theories of creation (i.e. big bang theory, evolution etc). n nif we evolved from apes, what did apes evolve from. and what did those things evolve from? if you believe the big bang theory, what who put the very first particles in place to combine and form the world as we know it? n nthis is a very serious question to me, because i am not religous, i do believe in those ideas of our evolution, however, that question leaves me to rely entirely on my spiritual beliefs, that there must be something else. something powerful enough to plant the tiniest seed to grow all of life from. am i missing some information?",en,not_en,en,en,en,en
1,where would i fit in?,i do not support god because i feel that the idea of an all powerful being weilding absolute control takes us out of control of our destiny as a species. i don t support satanism because i feel humanity should work towards its own good and not the good of the individual. and i dont do any pagan religions because i can't in believe something that i can't see. so where do i fit? n np.s. if you feel you must label me as a heretic plaese do it elsewhere. thnx. n np.p.s. no offense to any of the aforementioned groups.,en,en,en,en,en,en
1,guys > would you rather get your feet tickled barefoot or with your socks on?,"would you rather get your feet tickled barefoot or with your socks on? n nif you had the choice, what would you choose? nwhy? nhow old are you? n nthe best answer will get 10 points. nthanks!",en,en,en,en,en,en
1,why do most christians misunderstand what the bible is?,jesus did not preach pauline theology. modern christian theology is based on what paul thought. the bible was not compiled until approx 330 ad. maybe the men who threw it together were wrong? why do christians accept any teachings other than those of jesus?,en,en,en,en,en,en
1,why do people belive in god?,why do people belive in god?,en,en,en,en,en,en
1,how do japanese children find worth vs. american children?,japanese students work harder that american children.,en,en,en,en,not_en,en
1,what do you do when you have swamp butt?,you know when its really hot and then you sweat and you get sweaty butt and then you feel like your butt is swimming in your own water how do you deal? ni usally just let it ride out i dont care,en,en,en,en,not_en,en
1,hey everybody along with saying?,good night i wondered if anyone knows where i can trade in my points for prizes and cash i have hit level five and think it is time to trade in sweet dreams and have fun keep the peace and lots of love old hippie,en,en,en,en,en,en
1,i need some very very cheap ideas for xmas gifts for mom and sister?,i'm a very poor college student and told them i cannot afford any presents this year (i spent way too much last year). what can i make them or get them very cheaply ( 5 or less)?,en,en,en,en,en,en
1,why wont my boyfriend come wih me to church? whats he so afraid of?,"i am a baptist christian. my boyfriend's family is jahovas witness he says he dont have a religion. he believes in god, but he's not a jahovas witness like his family or anything. i was then trying to get him to com,e to curch with me then. you kno, i mean what would it hurt to just try an see if he likes my religion? at first he was down for it, but then all of a s=udden we abolut to go an he change his mind like nope. i cant it's wrong to go to kingdom hall and church im like well ur not a jahovas witness so, why cant you just try my religion an see if u like it? he still wont go iont kno if he scared to or what",en,en,en,en,en,en
1,what do you think ?,"in your opinion, what are the major flaws with the welfare system in the us?",en,en,en,en,en,en
1,what is your iq?,mine is about 160!,en,en,en,en,en,en
1,when will i meet this person i am sooo picky?,14 days,en,en,en,not_en,so,en
1,i wonder how come you can always go back to a nightmare but not the good dreams?,i have a hard time achieving this does anyone else? nhave you managed to get back to one of these dreams?,en,en,en,en,en,en
1,is it ok to kiss a person you just met for the first time?,i'm interested in knowing this because i'm a mexican professor teaching english and sometimes i teach my students culture about the countries where english is spoken,en,en,en,en,en,en
1,why are houses numbered evenly on one side of the street and odd on the other?,why is is that houses are even on one side and odd on the other? is it historical or for practical reasons?,en,en,en,en,en,en
1,what happened to nuns' habits when they stopped wearing them?,"when many religious orders of women stopped wearing traditional habits, what did they do with all the habits that were left over?",en,en,en,en,en,en
1,legal pranks for nosey neighbors?,"we received a visit from our local police men regarding a compliant that they recieved about the vehicles on our property.we have three cars, all of which are pretty nice no hoopdies no duck tape or anything, no plasic bags for windows so we just bought our home in a very nice area, we suspect that our neighbor was the the person who made this complaint.we are in need some legal ways to irriate her the kind of irritation that would teach her a little karma ) any ideas would be helpful. thank you",en,en,en,en,en,en
1,the universe is so complicated there must be a god. is this a sensible argument?,"if an ant doesn't understand the universe, we say no wonder, it's just an ant. if a cow doesn't udderstand the universe, we say no wonder it's just a cow. if a christian doesn't understand the universe, he is amazed and says that there must be a god, and that explains everything. why can't he just realise that we are not very important creatures who don't understand much at all?",en,en,en,en,en,en
1,does anyone beleive in vampires?,"they may be mere legends that many of you wish to prove but it just goes like that saying seeing is beleiving, but most of you beleive without seeing or even thinking n nso if you had the chance what would you do?,if you met a vampire on line and you dont beleive them when they wish to tell you",en,af,en,en,en,en
1,why are most of you guys so blind to the truth?,"sometimes i feel like i'm casting pearls before swine. you guys are continually contradicting yourselves. jesus is three seperate people, but then you say he is only one? how much sense does that make?",en,en,en,en,en,en
1,is it true that religion always corrupts the mind to think clearly and objectively?,so what is the craziest thing you have done in the name of religion?,en,en,en,en,en,en
1,"law and lie vs grace and truth, in john 1:17. which will you believe, know? believe or know in john 8:32?","the law (and lie) was given by moses, nbut grace and truth came by jesus christ. n nhe taketh away the first (holy terror : dt 34:12), nthat he may establish the second (holy saved aware). n nlaw and lie: press delete to take away, ngrace and truth: press save to establish.",en,en,en,en,en,en
1,"for all you catholics out there, how many of you know today is divine mercy sunday, a mandatory feast day?","also, do any christians, catholic or not, know the background and message from jesus to st. faustina about his divine mercy, and the amazing promise he made? for any and all true believers reading this out there, this promise is one of life and death eternal life and death. decades ago, jesus promised to st. faustina that any catholic who went to confession and mass the week after easter, performed a work of mercy after that, and offered up a prayer for the pope would have all of his or her previous sins forgiven and abolished instantly, like at baptism, so that person would be starting a new spiritual life. this promise only applies to catholics unfortunately, but fortunately, it applies to all catholics, even the most unfaithful. so any of you catholics that may happen to read this today, if there is still any time before the last mass at your parish today, and you haven't gone to mass yet today, go to mass. if you didn't go to confession yesterday, at least get more info aboutthis",en,en,en,en,en,en
