class_index,question_title,question_content,title_polyglot_detect,title_lang_detect,title_langid_detect,content_polyglot_detect,content_lang_detect,content_langid_detect
6,"dockers vs kangas, saturaday subiaco ?",final score will be,en,id,en,en,en,en
6,why people watch stupid wrestling shows knowing that they are fake?,everybody know that wrestling are not true. if you are awrestling lover please give me a website or tv programm(uk) which fight for real.,en,en,en,en,en,en
6,how will cut that meat peyton manning blow it this year?,im guessing we will be seeing him on his back a lot this year seeing as teams can blitz as they feel since they lost edge and now no one is going to respect the run from them. if only they werent in the second softest division i would say completly miss the playoffs but i see another dismal beat down to another more physical team from the north that plays outside in the snow.,en,en,en,en,en,en
6,are you loving the miami chicago game right now?,i might want to wait for this play to be reviewed.,en,en,en,en,en,en
6,do you like jose mourinho?,im a chelsea fan but i think hes too arrogant,en,pt,en,en,en,en
6,"i am going to be in highschool i want to be in the school's varsity ,?",i really want to enter volleyball any skills that i need to learn? i alredy have a volleyball and when i play with my friends i always kicked their ass anything you know about volleyball is highly appreciated,en,en,en,en,en,en
6,how can i get a card to donavan mcnabb?,"i'd like to let him know i'm not an eagles fan,but our whole church is praying in faith god will heal him and return him to the eagles next season. he is a worth opponent and i know he believes.we should all keep him and his family in prayer as he does others.the common bond being love",en,not_en,en,en,en,en
6,best catfish bait?,"i always like to hear what other like to use liver and cut bait usually work good for me, how bout y'all",en,en,en,en,en,en
6,canavaro mert'il le ballon d'or?,henry,en,it,en,not_en,cy,de
6,jamend up finger?,does anyone know how to heal a jamed up finger?the thing is that i was playing soccer and i was goalie someone shot the ball to hard and it banded one of my fingers .anyone knows how to cure ?how much would it take to heal?,en,da,en,en,en,en
6,do you know who hit the last homerun at tiger stadium?,i hope you know 10 points,en,en,en,en,en,en
6,who do u think is the best basball team?,"such as cardinals, cubs, yankees, etc.",en,en,en,en,en,en
6,who should i start at qb wr?,pick one nmarc bulger (vs arizona) nmike vick (at washington) n npick two nsteve smith (at philly) nmarvin harrision (at tennessee) ndonald driver (ny jets),en,en,en,en,en,en
6,what is the best snowmobile?,i'm going to purchase a snowmobile soon. not looking to set speed records or climb the widow maker. looking for a good machine to enjoy on causual mountian rides. any thoughts would be appriciated!,en,en,en,en,en,en
6,what happened between lippi and gattuso in the match against the czechs?,seems like lippi was smacked and then had a wth look on his face?!?!,en,en,en,en,en,en
6,i want to start skydiving. what is the quickest way i can start solo jumping?,"what do i need. what's the quickest way to get started, i want to get to solo jumps as fast as possible. thanks!",en,en,en,en,en,en
6,has anyone got any links to sites with information about any of the following (read details)?,"olympics: london 2012, montreal 1976, beijing 2008 commonwealth games: delhi 2010, kuala lumpar 1998 nworld cup: germany 2006, south africa 2010, japan south korea 2002 n nnote: when i say websites with information on these events, i mainly mean the costs, the revenues, the developments, info on new venues, not necessarily what happened at the games (well, unless it's related). thanks. and don't say wikipedia please thanks again everyone.",en,en,en,en,en,en
6,who is your favourite footballer and team that you rises the mercury in you and why?,why do they excite you and what is the one thing you wish for?,en,en,en,en,en,en
6,is talent overrated?,actually i don't think it is.i think that you can practice all day and all night but if you don't have the talent well a pro team will probably overlook you for a more talented guy. n nthe sport that is most associated with talent is the nba.i mean it's almost impossible to get there without a huge amount of talent.now i practice will bring out the talent but i don't think it can create it.,en,en,en,en,en,en
6,long jump distance?,what is the distance that a boy of 18 normally jumps in long jump? ni mean which have some records,en,id,en,en,en,en
6,college football?,has a team ever gone 0 0 11 or anything close to the record? nwhats the longest win streak? nlosing streak?,en,en,en,en,en,en
6,how do you play poker and texas hold 'em?,i need instructions!,en,en,en,en,en,en
